match_id,is_home,opponent,our_score,opponent_score,motm_first_name,motm_last_name,manager,event_id,match_time,minutes_played,result
0xa086f88ba147de58,True,Dream FC,3,4,Nico,Williams,OSMAN ODABA,0,1729790474,96,Mağlubiyet
0xa086f88ba1475082,False,GALATASARAY,1,3,Federico,Valverde,OKAN BURUK,0,1729790035,90,Mağlubiyet
0xa086f88ba146f09f,True,BOUNTY,3,0,Cristiano,Ronaldo,BOBB,0,1729789738,73,Galibiyet
0xa086f88ba144bdd7,True,ARSEEE,3,2,Vinícius,Júnior,ARTETA,0,1729788067,92,Galibiyet
0xa086f88ba1442089,False,KAZAKZHSTAN FK,2,3,Vinícius,Júnior,KOLKANAT,0,1729787624,94,Mağlubiyet
0xa086f88ba14381f6,False,FENERBAHCE,3,1,Erling,Haaland,FIRAT ARIKBAS,0,1729787183,93,Galibiyet
0xa086f88ba1433817,True,FC SHETPE,0,4,Mohamed,Salah,SERGEY NAZAROV,0,1729786976,45,Mağlubiyet
0xa086f88ba142ae2f,False,GALATASARAY,2,1,Luka,Modrić,MANAGER,0,1729786591,91,Galibiyet
0xa086f88ba137fb44,False,TUZLA SPOR,3,3,Harry,Kane,HUSEYIN,2,1729778833,121,Beraberlik
0xa086f88ba11e7254,False,REAL MADRID,0,2,Vinícius,Júnior,ZIDANE,0,1729754073,89,Mağlubiyet
0xa086f88ba11e1faf,False,MAZANDARAN,0,2,Cristiano,Ronaldo,MASHHADBAN,0,1729753667,92,Mağlubiyet
0xa086f88ba11dd907,True,YAYKIN SPOR,4,0,Vinícius,Júnior,SERGEN YALCIN,0,1729753321,67,Galibiyet
0xa086f88ba11d8620,True,GALATASARAYY,3,1,Vinícius,Júnior,FATIH TERIM,0,1729752907,93,Galibiyet
0xa086f88ba11d31e6,True,RALE MADRID ERITREAN AFRICKA,3,6,Kylian,Mbappé,MANAGER,0,1729752486,83,Mağlubiyet
0xa086f88ba0fabea4,False,MANCHESTER CITY,2,3,Vinícius,Júnior,MANAGER YOUTH,0,1729711038,94,Mağlubiyet
0xa086f88ba0fa5724,False,IRAN FC,1,2,Vinícius,Júnior,SAIED,0,1729710648,93,Mağlubiyet
0xa086f88ba0f9d82c,False,Dream FC,2,4,Cristiano,Ronaldo,JURA,0,1729710185,91,Mağlubiyet
0xa086f88ba0f97546,True,Dream FC,1,0,Cristiano,Ronaldo,THE BIG BIRD,0,1729709860,93,Galibiyet
0xa086f88ba0f92e2e,False,EGELI,1,4,Cristiano,Ronaldo,LEONIS,0,1729709647,47,Mağlubiyet
0xa086f88ba0a4b647,True,FKIH BEN SALAH,1,2,Hakim,Ziyech,YOUSSEF,0,1729626436,91,Mağlubiyet
